[21:36:42][game_application.cpp:283]: Game Version: Cherryh v2.0.2
[21:36:42][defines.cpp:124]: 1294 defines loaded
[22:10:37][hotjoin_view.cpp:383]: File Transfer: 0.882
[22:10:37][hotjoin_view.cpp:383]: File Transfer: 0.892
[22:10:37][hotjoin_view.cpp:383]: File Transfer: 0.902
[22:10:37][hotjoin_view.cpp:383]: File Transfer: 0.912
[22:10:38][hotjoin_view.cpp:383]: File Transfer: 0.922
[22:10:38][hotjoin_view.cpp:383]: File Transfer: 0.931
[22:10:38][hotjoin_view.cpp:383]: File Transfer: 0.941
[22:10:38][hotjoin_view.cpp:383]: File Transfer: 0.951
[22:10:38][hotjoin_view.cpp:383]: File Transfer: 0.961
[22:10:39][hotjoin_view.cpp:383]: File Transfer: 0.971
[22:10:39][hotjoin_view.cpp:383]: File Transfer: 0.98
[22:10:39][hotjoin_view.cpp:383]: File Transfer: 0.99
[22:10:39][hotjoin_view.cpp:383]: File Transfer: 1
[22:10:43][ingamelobby.cpp:544]: Trying to reinit lobbyhumans
[22:10:43][ingamelobby.cpp:383]: Not valid player 背影 2 arrived
[22:10:43][ingamelobby.cpp:389]: PlayerArrived3: Local player is 背影 session id is 2
[22:10:43][ingamelobby.cpp:488]: Onchat:Local player is 背影 session id is 2
